"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"growthMedium";"celltype";"measurementPosition";"measurementTime";"objective";"~File location";""
"8847ea75";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs1";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs1.asc";""
"30d0db5b";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs10";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs10.asc";""
"62c13717";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs2";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs2.asc";""
"8d9381f6";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs3";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs3.asc";""
"685192d5";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (1)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (1).asc";""
"fd478ce9";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (10)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (10).asc";""
"2aa50cb1";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (11)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (11).asc";""
"89f38a18";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (12)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (12).asc";""
"5e110a40";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (13)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (13).asc";""
"142f810b";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (14)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (14).asc";""
"c3cd0153";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (15)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (15).asc";""
"609b87fa";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (16)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (16).asc";""
"b77907a2";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (17)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (17).asc";""
"f4e6916c";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (18)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (18).asc";""
"23041134";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (19)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (19).asc";""
"cb07147c";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (2)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (2).asc";""
"1ce59424";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (3)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (3).asc";""
"56db1f6f";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (4)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (4).asc";""
"81399f37";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (5)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (5).asc";""
"226f199e";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (6)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (6).asc";""
"f58d99c6";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (7)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (7).asc";""
"b6120f08";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"2015-03-19, 13:01:22";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK Faktor VII (Producer)";"BHKFVII_570_Medium_60wi_50sec_Cs30 (8)";"asc";"Medium";"BHKFVII";"_Cs";"50sec";"60wi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK Faktor VII (Producer)\\BHKFVII_570_Medium_60wi_50sec_Cs30 (8).asc";""
