"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"growthMedium";"measurementPosition";"measurementTime";"objective";"Zelltyp";"~File location";""
"71a16ecd";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs19";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs19.asc";""
"5ae91751";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs2";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs2.asc";""
"2af4f089";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs20";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs20.asc";""
"c5a64668";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs21";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs21.asc";""
"2f209b0a";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs22";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs22.asc";""
"c0722deb";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs23";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs23.asc";""
"215c278f";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs24";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs24.asc";""
"ce0e916e";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs25";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs25.asc";""
"24884c0c";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs26";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs26.asc";""
"cbdafaed";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs27";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs27.asc";""
