CRC32	lastAccessTime	lastModifiedTime	creationTime	rootFolder	subFolder0	subFolder1	subFolder2	subFolder3	subFolder4	subFolder5	subFolder6	subFolder7	subFolder8	subFolder9	fileName	fileExtension	growthMedium	celltype	measurementLocation	measurementTime	lens	~File location	
fce08dd3	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs1	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs1.asc	
c934f950	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs10	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs10.asc	
349bcce2	2015-03-25, 15:21:44	2015-03-25, 15:21:44	2015-03-25, 15:21:44	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs1BG	asc	_Medium	BHKFVII_570	BG	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs1BG.asc	
166650b1	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs2	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs2.asc	
f934e650	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs3	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs3.asc	
181aec34	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs4	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs4.asc	
f7485ad5	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs5	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs5.asc	
1dce87b7	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs6	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs6.asc	
f29c3156	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs7	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs7.asc	
4e3953e	2015-03-25, 16:06:46	2015-03-25, 16:06:46	2015-03-25, 16:06:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_highproducer_100oi	BHKFVII_570_Medium_100oi_20sec_Cs8	asc	_Medium	BHKFVII_570	_Cs	20sec	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_highproducer_100oi\BHKFVII_570_Medium_100oi_20sec_Cs8.asc	
